X,Y,FID,village,settlement,facility_type,facility_name,managing_organization,donor,altitude
36.797445,-1.313253333,1103,Laini saba,Kibera,Education Facility,Tree Hill School,Individual (eg business owner),NaN,1717.6
36.77624333,-1.316341667,1104,soweto east,Kibera,Religious facility,Trinity Santuary Belivers Church,Missing Values,NaN,1736.1
36.79730167,-1.316853333,1105,Silanga,Kibera,Religious facility,True Christian Gospel Living Ministry,Missing Values,NaN,1732
36.79178539,-1.311507804,1106,Mashimoni,Kibera,Education Facility,True leaner school,Individual (eg business owner),NaN,1709.668314
36.78777167,-1.311061667,1107,Makongeni,Kibera,Transport stops (matatus/ boda-boda) - formal & informal,Tuk tuk stage,Community group,N/A,1727.8
36.79403015,-1.312285296,1108,Lindi,Kibera,Religious facility,Tumain A.I.C,Missing Values,NaN,1704.918792
36.78472705,-1.312833186,1109,Kisumu ndogo,Kibera,Religious facility,Tumaini,Missing Values,NaN,1713
36.79404167,-1.312148333,1110,Laini saba,Kibera,Religious facility,TUMAINI A.I.C  LAINI SABA,Missing Values,NaN,1743.7
36.78470744,-1.312835743,1111,Kisumu ndogo,Kibera,Education Facility,Tumaini academy,Individual (eg business owner),NaN,1721
36.78739309,-1.31197028,1112,Kambi muru,Kibera,Pharmacy / chemist,Tumaini Chemist,Missing Values,NaN,1730
36.79240924,-1.316254998,1113,Lindi,Kibera,Education Facility,Ujamaa school,Individual (eg business owner),Jackson injinia,1693.286819
36.79339998,-1.313722301,1114,Lindi,Kibera,Religious facility,Unabi church,Missing Values,NaN,1693.169338
36.79957,-1.317503333,1115,Silanga,Kibera,Transport stops (matatus/ boda-boda) - formal & informal,Undugu BodaStage,No one,NaN,1723.6
36.78293928,-1.316177398,1116,Gatwekera,Kibera,Religious facility,Undugu Family of Hope,Missing Values,NaN,1714
36.79987,-1.317701667,1117,Silanga,Kibera,Public space,Undugu playing ground,Community group,NaN,1717.4
36.79963333,-1.317566667,1118,Silanga,Kibera,Police station,Undugu police post,Missing Values,NaN,1723.7
36.800415,-1.317343333,1119,Silanga,Kibera,Social hall / community centre / resource centre,Undugu social hall,Community group,NaN,1715.9
36.776535,-1.31468,1120,soweto west,Kibera,Religious facility,United Pentecostal Church,Missing Values,NaN,1734.8
36.77427205,-1.310603516,1121,Ayany estate,Kibera,Religious facility,Universal church,Missing Values,NaN,1757
36.78090667,-1.307415,1122,Toi Market,Kibera,Religious facility,Universal Pentecostal everngelism church,Missing Values,NaN,1787.5
